provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
SALTA;VIRGINIA;False;False;33063450.0;7657035452.8;231.59;4423292101.73;133.78;12080327554.53;365.37;2021/2022
MISIONES;SUBTOTAL_PROVINCIAL;True;False;19206306.0;3747102634.14;195.1;1986553841.99;103.43;5733656476.13;298.53;2021/2022
MISIONES;BURLEY;False;False;18957718.0;3719966508.45;196.22;1970877918.75;103.96;5690844427.2;300.19;2021/2022
MISIONES;CR. MISIONERO;False;False;230372.0;22218489.07;96.45;12835126.43;55.71;35053615.5;152.16;2021/2022
MISIONES;VIRGINIA;False;False;18216.0;4917636.62;269.96;2840796.81;155.95;7758433.43;425.91;2021/2022
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;533696.0;70255569.68;131.64;60085934.4;112.58;130341504.08;244.22;2021/2022
CATAMARCA;BURLEY;False;False;497144.0;64728115.63;130.2;56892854.23;114.44;121620969.86;244.64;2021/2022
CATAMARCA;CR. ARGENTINO;False;False;36552.0;5527454.05;151.22;3193080.17;87.36;8720534.22;238.58;2021/2022
CHACO;SUBTOTAL_PROVINCIAL;True;False;464761.0;57136911.0;122.94;33002914.33;71.01;90139825.33;193.95;2021/2022
CHACO;VIRGINIA;False;False;196345.0;43424575.37;221.16;25081758.68;127.74;68506334.05;348.91;2021/2022
CHACO;CR. CHAQUEÑO;False;False;268416.0;13712335.63;51.09;7921155.65;29.51;21633491.28;80.6;2021/2022
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;6413547.0;935404134.5;145.85;698922797.18;108.98;1634326931.68;254.82;2021/2022
TUCUMAN;VIRGINIA;False;False;9051.0;2028105.38;224.08;1171518.11;129.44;3199623.49;353.51;2021/2022
TUCUMAN;BURLEY;False;False;6184619.0;899750544.38;145.48;678326616.42;109.68;1578077160.8;255.16;2021/2022
TUCUMAN;CR. ARGENTINO;False;False;219877.0;33625484.74;152.93;19424662.65;88.34;53050147.39;241.27;2021/2022
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;1370184.0;166733865.36;121.69;96317970.83;70.3;263051836.19;191.98;2021/2022
CORRIENTES;CR. CORRENTINO;False;False;1370184.0;166733865.36;121.69;96317970.83;70.3;263051836.19;191.98;2021/2022
CORRIENTES;VIRGINIA;False;False;63845505.0;14679706369.55;;8480120452.32;;23159826821.87;;2021/2022
CORRIENTES;BURLEY;False;False;25639481.0;4684445168.46;;2706097389.4;;7390542557.86;;2021/2022
CORRIENTES;CR. MISIONERO;False;False;230372.0;22218489.07;;12835126.43;;35053615.5;;2021/2022
CORRIENTES;CR. CHAQUEÑO;False;False;268416.0;13712335.63;;7921155.65;;21633491.28;;2021/2022
CORRIENTES;CR. ARGENTINO;False;False;256429.0;39152938.79;;22617742.83;;61770681.62;;2021/2022
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;87408882.0;44920826792.08;513.92;20161741016.81;230.66;65082567808.89;744.58;2022/2023
JUJUY;SUBTOTAL_PROVINCIAL;True;False;28071094.0;15042340291.74;535.87;6749010313.55;240.43;21791350605.29;776.29;2022/2023
JUJUY;VIRGINIA;False;False;28071094.0;15042340291.74;535.87;6749010313.55;240.43;21791350605.29;776.29;2022/2023
SALTA;SUBTOTAL_PROVINCIAL;True;False;33126813.0;17023668732.97;513.89;7637967431.27;230.57;24661636164.24;744.46;2022/2023
SALTA;VIRGINIA;False;False;33126813.0;17023668732.97;513.89;7637967431.27;230.57;24661636164.24;744.46;2022/2023
