mes,precio_inferior,precio_promedio_ponderado,precio_superior,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
dic-16,15.5,41.25,52.0,11176895.0,22296162.0,13124506.0,126083263.0,172680827.0
ene-17,15.5,41.25,52.0,12597640.0,21351271.0,13540875.0,117006968.0,164496755.0
feb-17,15.5,42.24,55.0,12840523.0,8345864.0,37547776.0,75739455.0,134473618.0
mar-17,15.5,42.24,55.0,14743880.0,5149704.0,33025561.0,111523825.0,164442970.0
abr-17,16.4,44.11,57.0,14062280.0,10018019.0,32983187.0,85745385.0,142808871.0
may-17,16.5,45.19,57.0,13773020.0,5984279.0,28703398.0,98600506.0,147061203.0
jun-17,16.5,45.36,57.0,12715900.0,5779385.0,28678781.0,97540752.0,144714817.0
jul-17,16.5,46.57,59.0,12965010.0,1790589.0,34356148.0,84359772.0,133471518.0
ago-17,16.5,47.33,59.0,12790725.0,750.303,36986826.0,103431607.0,153959462.0
sep-17,16.5,47.6,59.0,11986312.0,776.987,35584157.0,107643356.0,155990812.0
oct-17,16.5,48.46,61.0,13713804.0,1437015.0,29885358.0,90780234.0,135816411.0
nov-17,16.5,48.93,61.0,14232670.0,838.912,33379948.0,107234239.0,155685768.0
dic-17,16.5,49.08,61.0,13999640.0,718.226,35780911.0,113911998.0,164410775.0
abr-18,12.0,52.34,66.0,1414375.0,12851734.0,37310347.0,93397217.0,144973673.0
may-18,19.0,53.33,66.0,16120385.0,40.748,35202209.0,96984235.0,148347577.0
jun-18,12.0,53.14,66.0,2102013.0,14189378.0,28526499.0,90578565.0,135396456.0
jul-18,19.0,54.44,70.0,17465447.0,8.358,40561404.0,76146768.0,134181977.0
ago-18,19.5,56.24,70.0,15913585.0,0.0,34552511.0,96604810.0,147070906.0
sep-18,19.5,61.08,74.0,2200794.0,8341320.0,31623267.0,79356798.0,121522179.0
oct-18,21.5,60.98,74.0,3682742.0,12176774.0,39132229.0,107546476.0,162538221.0
nov-18,20.0,64.57,80.0,9340745.0,6765290.0,38621528.0,86245626.0,140973190.0
dic-18,21.5,66.03,80.0,2935085.0,13941044.0,26811718.0,106601269.0,150289116.0
may-19,28.2,76.17,102.0,19218653.0,3294307.0,75363200.0,51493881.0,149370039.0
jul-19,28.0,77.44,102.0,21371901.0,55.699,49705901.0,66909418.0,138042919.0
ago-19,29.0,81.46,110.0,23799949.0,1533257.0,59648492.0,64029345.0,149011043.0
sep-19,29.0,86.58,120.0,23911521.0,1102729.0,47637068.0,57253254.0,129904572.0
oct-19,37.0,90.39,130.0,29662008.0,4285274.0,82909489.0,26142191.0,142998961.0
nov-19,30.0,95.58,145.0,25846952.0,11740681.0,79112153.0,24829337.0,141529123.0
dic-19,30.0,104.07,145.0,19190664.0,4420410.0,82288322.0,39216967.0,145116362.0
Ene-20,30.0,102.8,153.0,29405940.0,4592106.0,60364932.0,50866534.0,145229512.0
Feb-20,30.0,105.38,153.0,25728255.0,1569585.0,54724044.0,54130964.0,136152849.0
Mar-20,30.0,110.33,163.0,20634953.0,2544314.0,57219537.0,37851456.0,118250260.0
Abr-20,29.4,120.72,163.0,3263060.0,1780937.0,28637492.0,28137114.0,61818602.0
May-20,29.4,112.18,163.0,20203690.0,1724140.0,69710262.0,49869010.0,141507102.0
Jun-20,29.4,115.69,173.0,30063354.0,15436932.0,71192129.0,67151101.0,183843516.0
Jul-20,37.5,109.51,173.0,43354335.0,2144291.0,54281868.0,44249672.0,144030166.0
Ago-20,37.5,113.64,173.0,40984010.0,2260250.0,62386968.0,52320062.0,157951290.0
Sep-20,37.5,113.08,186.0,47780525.0,754.751,48739771.0,34609322.0,131884370.0
Oct-20,37.5,120.75,168.0,42926542.0,451.356,65759426.0,45959142.0,155096466.0
Nov-20,39.4,124.34,200.0,40137895.0,4755684.0,78741918.0,27987327.0,151622823.0
Dic-20,39.4,130.54,200.0,41761165.0,163.915,66081439.0,50451796.0,158458314.0
Ene-21,39.4,133.39,218.0,42864425.0,3225164.0,71417937.0,31834810.0,149342336.0
Feb-21,39.4,139.07,235.0,41834069.0,7623052.0,87138066.0,19514721.0,156109907.0
Mar-21,39.4,142.17,235.0,53381788.0,1941131.0,61734438.0,47630466.0,164687822.0
Abr-21,39.4,149.2,235.0,40313420.0,277.643,51792336.0,49895221.0,142278620.0
May-21,43.75,147.69,235.0,42252665.0,191.223,55047377.0,48066107.0,145557372.0
Jun-21,43.75,144.62,255.0,46730247.0,446.681,41449129.0,32130495.0,120756551.0
jul-21,43.75,154.76,255.0,44645132.0,21.883,47959898.0,46050217.0,138677129.0
Ago-21,43.75,158.02,255.0,45840943.0,21.702,56725688.0,52598386.0,155186718.0
sep-21,43.75,153.31,275.0,55534270.0,668.537,45574523.0,37484184.0,139261513.0
Oct-21,45.0,169.74,275.0,41872002.0,-1.025,52028430.0,49835661.0,143735069.0
Nov-21,38.0,166.86,275.0,52953377.0,33.231,61674834.0,58146459.0,172807901.0
Dic-21,36.0,172.4,290.0,57451305.0,18.19,58063015.0,54584211.0,170116720.0
Ene-22,38.0,169.4,290.0,51914518.0,32.662,48212587.0,46409664.0,146569431.0
Feb-22,38.0,181.56,310.0,42920083.0,21.426,83940914.0,21120891.0,148003313.0
Mar-22,38.0,184.04,310.0,51724926.0,20.94,48184899.0,45564527.0,145495292.0
Abr-22,30.0,184.37,310.0,50039358.0,30.46,38994713.0,55620028.0,144684558.0
May-22,38.0,190.63,350.0,57209143.0,-530.0,79288184.0,28436584.0,164933381.0
Jun-22,38.0,200.08,350.0,49264895.0,0.0,28515405.0,52996049.0,130776349.0
Jul-22,43.5,200.35,400.0,63650275.0,-3.243,74849899.0,22400762.0,160897693.0
Ago-22,43.5,221.05,400.0,63116431.0,0.0,59368840.0,48730942.0,171216213.0
Sep-22,45.5,232.61,455.0,62447884.0,-1.0,54009156.0,32806744.0,149262784.0
Oct - 22,43.5,236.8,455.0,69031962.0,0.0,50244383.0,42687608.0,161963952.0
Nov-22,43.5,254.12,530.0,69119952.0,8792727.0,65014014.0,27602301.0,170528994.0
Dic-22,46.0,292.66,560.0,59980085.0,-300.0,80085481.0,23196706.0,163261972.0
Ene-23,46.0,318.9,640.0,49450157.0,6960084.0,77922480.0,12609840.0,146942561.0
Feb-23,49.5,330.95,690.0,52401007.0,11899815.0,74810072.0,14166246.0,153277140.0
Mar-23,48.85,343.26,720.0,71906947.0,806.629,53579511.0,40622627.0,166915714.0
Abr-23,49.5,348.04,720.0,72814673.0,-79.0,55591349.0,42389437.0,170795380.0
May-23,51.95,356.84,820.0,74182550.0,744.044,52678897.0,29437832.0,157043323.0
Jun-23,51.95,404.8,820.0,63326100.0,-10.0,48963286.0,39486231.0,151775606.0
Jul-23,52.15,395.03,940.0,68283773.0,753.95,55792340.0,13011775.0,137841837.0
Ago-23,52.15,450.99,1020.0,74257341.0,10379495.0,70601249.0,20033238.0,175271323.0
Sep-23,52.15,534.68,1020.0,49638747.0,4.635,33823252.0,43974945.0,127441580.0
Oct-23,52.15,571.01,1190.0,59833210.0,6884408.0,57600937.0,30581056.0,154899611.0
Nov-23,52.15,667.11,1320.0,55594500.0,11174224.0,68993695.0,28778252.0,164540671.0
Dic-23,52.15,733.99,1654.55,50037885.0,5038639.0,53024050.0,14949407.0,123049981.0
Ene-24,120.0,912.31,2145.45,59894125.0,25203280.0,70437899.0,7567642.0,163102946.0
Feb-24,120.0,1107.26,2670.0,54052954.0,20470350.0,55076521.0,4147739.0,133747564.0
Mar-24,147.1,1325.19,2670.0,52937535.0,1227236.0,47221994.0,31940707.0,133327473.0
Abr-24,147.1,1359.22,3380.0,63826642.0,22074838.0,52874534.0,3875300.0,142651314.0
May-24,147.1,1541.44,3100.0,54356920.0,-16.751,49425359.0,29008545.0,132774073.0
Jun-24,400.0,1669.85,3400.0,43364625.0,-1.96,32619221.0,35365583.0,111347469.0
Jul-24,207.0,1507.26,4080.0,72491129.0,27851895.0,30606108.0,8151911.0,139101044.0
Ago-24,417.92,1758.02,5000.0,66516499.0,42170561.0,26760141.0,1645146.0,137092347.0
Sep-24,417.92,1733.55,5000.0,69433946.0,36799167.0,25966841.0,1668372.0,133868326.0
Oct-24,417.92,1744.56,4080.0,56958765.0,44839926.0,31386504.0,15538560.0,148723754.0
Nov-24,317.92,1743.53,4330.0,60280485.0,42080970.0,30473709.0,11726015.0,144561179.0
Dic-24,317.92,2029.27,4330.0,42818160.0,50856916.0,35215983.0,16498571.0,145389630.0
Ene-25,349.0,1927.61,4530.0,54491525.0,38725227.0,34083502.0,17092931.0,144393185.0
Feb-25,349.0,2004.26,4530.0,48118625.0,35705106.0,32142437.0,22220732.0,138186900.0
Mar-25,349.0,1987.33,4680.0,49480400.0,48661658.0,27504660.0,13747819.0,139394537.0
Abr-25,349.0,2121.2,4730.0,43987111.0,35944546.0,25187919.0,22214915.0,127334491.0
May-25,349.0,2024.94,4730.0,51027395.0,36208847.0,23978461.0,21727965.0,132942669.0
Jun-25,349.0,2078.53,5000.0,53114720.0,36689817.0,20501887.0,18898647.0,129205072.0
Jul-25,369.0,2246.07,5000.0,47800953.0,40017413.0,23018263.0,26249313.0,137085941.0
Ago-25,349.0,2255.51,5250.0,49576255.0,33955547.0,20470351.0,20360152.0,124362305.0
Sep-25,349.0,2461.6,5550.0,41480280.0,38007982.0,30111485.0,14350788.0,123950535.0
Oct-25,369.0,2579.15,5550.0,48387640.0,44691553.0,27696501.0,23223872.0,143999566.0
Nov-25,369.0,2505.49,5550.0,44687375.0,35743480.0,18551319.0,21295412.0,120277586.0
Dic-25,369.0,2668.51,5850.0,55244755.0,47294231.0,31835209.0,21627009.0,156001204.0
Ene-26,389.0,2582.04,5850.0,50384225.0,39425079.0,18617889.0,21932427.0,130359620.0
Feb-26,389.0,2582.5,5850.0,50398345.0,40667384.0,18359192.0,22612988.0,132037909.0
Mar-26,389.0,2590.69,6150.0,62158800.0,35698177.0,24556383.0,23122990.0,145536350.0
